ФИО,Телефон,Адрес,Дата рождения,Любимое вино
User_380,+79211990246,"Кострома, ул. Красной Армии, 72, кв. 14",1986-08-16,Wine_924
User_309,+79478765577,"Вологда, ул. Победы, 62, кв. 11",1991-01-29,Wine_390
User_811,+79685068107,"Набережные Челны, пр. Химиков, 10, кв. 12",1998-12-13,Wine_801
User_93,+79418293572,"Тула, ул. Красноармейская, 67, кв. 21",1984-09-05,Wine_802
User_904,+79959380675,"Калуга, ул. Московская, 87, кв. 16",,Wine_392
User_1159,+79751665288,"Казань, пр. Победы, 17, кв. 6",1991-03-14,Wine_834
User_254,+79481688103,"Москва, ул. Арбат, 64, кв. 22",1997-02-10,Wine_93
User_1262,+79015742758,"Астрахань, ул. Советская, 75, кв. 9",1990-08-04,Wine_401
User_1236,+79481894899,"Архангельск, ул. Пушкина, 88, кв. 13",1998-12-13,Wine_175
User_1333,+79190272911,"Новосибирск, ул. Дзержинского, 80, кв. 15",1999-02-13,Wine_986
User_1384,+79986384579,"Екатеринбург, ул. Мичурина, 55, кв. 10",2003-09-30,Wine_331
Татьяна Вячеславовна Личи,+79982314138,"Владимир, ул. Дзержинского, 77, кв. 15",1990-09-16,Wine_199
User_586,+79536721637,"Москва, ул. Арбат, 64, кв. 22",1987-02-02,Wine_162
User_723,+79127886322,"Казань, пр. Победы, 17, кв. 6",1990-06-29,Wine_222
User_694,+79474042277,"Омск, ул. Челюскинцев, 89, кв. 8",1991-03-14,Wine_709
User_298,+79550544407,"Москва, ул. Тверская, 12, кв. 34",1980-12-29,Wine_345
User_1424,+79813687165,"Тюмень, ул. Республики, 29, кв. 25",2000-05-21,Wine_299
User_867,+79031187331,"Краснодар, ул. Красная, 51, кв. 5",1997-04-17,Wine_419
User_1314,+79160713152,"Тольятти, ул. Ворошилова, 29, кв. 13",1995-04-25,Wine_177
User_968,+79135599204,"Москва, ул. Арбат, 64, кв. 22",1984-06-13,Wine_562
User_1104,+79385633324,"Ижевск, ул. Азина, 42, кв. 9",1990-10-22,Wine_203
User_794,+79236690400,"Архангельск, ул. Северная, 11, кв. 19",1990-06-29,Wine_32
User_599,+79078850173,"Тольятти, ул. Волгоградская, 57, кв. 14",2000-05-21,Wine_336
User_544,+79385737545,"Вологда, ул. Победы, 62, кв. 11",1991-07-15,Wine_352
User_491,+79250177046,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1999-05-11,Wine_741
User_152,+79286818934,"Иваново, ул. Интернациональная, 34, кв. 22",1993-11-30,Wine_253
User_1032,+79198832960,"Новосибирск, ул. Сибирская, 78, кв. 21",1990-08-04,Wine_483
User_583,+79181075193,"Тула, ул. Красноармейская, 67, кв. 21",1998-01-03,Wine_454
User_793,+79831159444,"Казань, пр. Победы, 17, кв. 6",1990-10-22,Wine_5
User_889,+79541572642,"Тольятти, ул. Волгоградская, 57, кв. 14",1988-11-27,Wine_658
User_186,+79854677282,"Оренбург, ул. Карла Маркса, 84, кв. 16",1981-11-06,Wine_843
User_434,+79543022191,"Курск, пр. Октябрьский, 57, кв. 13",1981-11-03,Wine_177
User_301,+79348571823,"Курск, ул. Ленина, 43, кв. 28",1998-01-03,Wine_93
User_1180,+79434252600,"Брянск, ул. Толстого, 21, кв. 14",1986-06-12,Wine_183
User_1419,+79355453690,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",,Wine_850
User_1114,+79640441536,"Уфа, ул. Карла Маркса, 27, кв. 22",1977-07-11,Wine_909
User_651,+79439617732,"Челябинск, ул. Малышева, 36, кв. 9",1981-11-03,Wine_431
User_296,+79149464167,"Кострома, ул. Московская, 60, кв. 18",1981-11-06,Wine_372
User_306,+79457004158,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1986-06-12,Wine_854
User_1050,+79274360303,"Псков, ул. Советская, 34, кв. 7",1981-03-21,Wine_815
User_1146,+79505468410,"Вологда, ул. Победы, 62, кв. 11",1980-03-23,Wine_754
User_1198,+79370211830,"Брянск, пр. Славы, 67, кв. 6",1982-03-12,Wine_96
User_829,+79446438996,"Челябинск, ул. Таганская, 41, кв. 4",1995-04-25,Wine_56
User_981,+79776388554,"Курган, ул. Пушкина, 49, кв. 18",2002-09-09,Wine_617
User_430,+79226629421,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",1981-03-21,Wine_262
User_1221,+79015382673,"Псков, ул. Советская, 34, кв. 7",1987-02-02,Wine_398
User_327,+79780187646,"Саратов, ул. Гагарина, 92, кв. 22",1980-12-29,Wine_589
User_423,+79353645801,"Саранск, ул. Советская, 46, кв. 9",2003-09-30,Wine_104
User_325,+79415287648,"Архангельск, ул. Северная, 11, кв. 19",1994-05-25,Wine_813
User_754,+79681346523,"Вологда, ул. Победы, 62, кв. 11",1987-02-02,Wine_501
User_1152,+79294857200,"Казань, пр. Победы, 17, кв. 6",1991-03-14,Wine_374
User_1368,+79463344765,"Тула, ул. Красноармейская, 67, кв. 21",,Wine_323
User_807,+79915965457,"Тверь, ул. Ленина, 67, кв. 17",1997-01-09,Wine_564
User_310,+79738461795,"Белгород, пр. Бульварный, 12, кв. 8",1997-04-22,Wine_773
User_657,+79165060553,"Пермь, ул. Куйбышева, 98, кв. 10",1995-07-18,Wine_983
User_158,+79351110571,"Набережные Челны, пр. Химиков, 9, кв. 3",1989-05-05,Wine_255
User_456,+79607485626,"Смоленск, ул. Романова, 25, кв. 19",1997-01-09,Wine_263
User_1158,+79098571171,"Архангельск, ул. Пушкина, 88, кв. 13",1983-03-01,Wine_235
User_997,+79807533278,"Красноярск, ул. Мира, 15, кв. 3",1990-06-29,Wine_678
User_1206,+79289964055,"Ярославль, ул. Волковская, 35, кв. 20",1984-06-13,Wine_913
User_1045,+79586165507,"Тверь, ул. Пролетарская, 57, кв. 8",1974-07-24,Wine_768
User_483,+79074618473,"Ульяновск, пр. Ленинский, 13, кв. 7",1978-05-15,Wine_782
User_255,+79134785941,"Рязань, ул. Дзержинского, 26, кв. 5",1973-12-11,Wine_355
Виктор Анатольевич Вермут,+79797594592,"Нижний Новгород, пр. Гагарина, 89, кв. 17",2002-03-10,Wine_455
User_438,+79025436529,"Сочи, ул. Пушкина, 76, кв. 12",1994-05-20,Wine_555
User_471,+79647518081,"Барнаул, ул. Ленина, 82, кв. 4",1981-11-06,Wine_281
User_583,+79181075193,"Тула, ул. Красноармейская, 67, кв. 21",1998-01-03,Wine_584
User_542,+79448334530,"Ставрополь, ул. Ленина, 39, кв. 22",1976-02-02,Wine_943
User_1456,+79343008424,"Воронеж, ул. Свердлова, 59, кв. 3",1998-01-03,Wine_444
User_936,+79208293253,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1980-03-23,Wine_663
User_1422,+79328559506,"Тольятти, ул. Волгоградская, 57, кв. 14",2003-02-04,Wine_953
User_702,+79762906514,"Курск, ул. Ленина, 43, кв. 28",1981-03-21,Wine_596
User_551,+79703704749,"Ставрополь, ул. Лермонтова, 34, кв. 18",1985-09-02,Wine_174
User_563,+79397819330,"Рязань, ул. Дзержинского, 26, кв. 5",2003-06-09,Wine_715
User_1218,+79046579805,"Иваново, ул. Интернациональная, 34, кв. 22",1992-03-20,Wine_731
User_729,+79361452095,"Набережные Челны, пр. Химиков, 10, кв. 12",1991-03-08,Wine_178
User_977,+79720459834,"Казань, ул. Баумана, 56, кв. 12",2002-03-10,Wine_198
User_1489,+79472559625,"Воронеж, пр. Мира, 59, кв. 6",1992-12-08,Wine_443
User_1281,+79284740515,"Курган, ул. Пушкина, 49, кв. 18",1999-02-13,Wine_255
User_442,+79092158993,"Пенза, пр. Победы, 90, кв. 12",1998-05-16,Wine_388
User_953,+79329133392,"Мурманск, пр. Ленина, 52, кв. 5",1987-11-06,Wine_832
User_975,+79979673789,"Липецк, ул. Звездная, 88, кв. 4",1993-11-30,Wine_77
User_771,+79582047459,"Ульяновск, пр. Ленинский, 13, кв. 7",1998-12-13,Wine_665
User_456,+79607485626,"Смоленск, ул. Романова, 25, кв. 19",1997-01-09,Wine_437
User_457,+79622528479,"Череповец, ул. Ленина, 82, кв. 14",1992-12-08,Wine_15
User_656,+79030528178,"Уфа, ул. Ленина, 27, кв. 13",1994-05-25,Wine_224
User_1383,+79904261276,"Липецк, ул. Звездная, 88, кв. 4",2002-03-10,Wine_628
User_782,+79110080147,"Кострома, ул. Московская, 60, кв. 18",1998-01-03,Wine_403
User_771,+79582047459,"Ульяновск, пр. Ленинский, 13, кв. 7",1998-12-13,Wine_347
User_204,+79713054752,"Курган, ул. Пушкина, 49, кв. 18",1988-07-25,Wine_204
User_732,+79273275911,"Оренбург, ул. Карла Маркса, 84, кв. 16",1986-08-16,Wine_396
User_1074,+79954284562,"Уфа, ул. Ленина, 27, кв. 13",1988-07-25,Wine_983
User_988,+79995153825,"Астрахань, ул. Советская, 75, кв. 9",1981-11-06,Wine_615
User_969,+79016625343,"Архангельск, ул. Пушкина, 88, кв. 13",1992-03-20,Wine_603
User_1258,+79468335280,"Брянск, пр. Славы, 67, кв. 6",1994-09-19,Wine_786
User_1152,+79294857200,"Казань, пр. Победы, 17, кв. 6",1991-03-14,Wine_568
User_976,+79136038780,"Курск, ул. Ленина, 43, кв. 28",1997-03-23,Wine_398
User_592,+79865507461,"Москва, ул. Тверская, 12, кв. 34",1986-11-21,Wine_82
User_572,+79909867008,"Казань, ул. Баумана, 56, кв. 12",1999-02-13,Wine_33
User_1143,+79182514506,"Иваново, ул. Пушкина, 76, кв. 19",1973-12-11,Wine_761
User_438,+79025436529,"Сочи, ул. Пушкина, 76, кв. 12",1994-05-20,Wine_238
User_1072,+79923017183,"Тольятти, ул. Волгоградская, 57, кв. 14",1999-05-11,Wine_489
User_1432,+79977769601,"Кострома, ул. Московская, 60, кв. 18",1993-11-30,Wine_141
User_442,+79092158993,"Пенза, пр. Победы, 90, кв. 12",1998-05-16,Wine_856
User_1412,+79012511928,"Вологда, ул. Победы, 62, кв. 11",2003-02-04,Wine_974
User_118,+79700131751,"Ставрополь, ул. Ленина, 39, кв. 22",2003-09-30,Wine_609
User_383,+79752057817,"Тверь, ул. Пролетарская, 57, кв. 8",1997-04-19,Wine_251
Вячеслава Валентиновна Каберне,+79633276290,"Сыктывкар, ул. Ленина, 62, кв. 21",1993-09-14,Wine_300
User_1213,+79533796932,"Калуга, ул. Московская, 87, кв. 16",1994-07-04,Wine_563
User_1343,+79408562550,"Мурманск, пр. Ленина, 52, кв. 5",1998-01-03,Wine_518
User_385,+79589410796,"Челябинск, ул. Малышева, 36, кв. 9",1991-07-15,Wine_728
User_860,+79656074865,"Оренбург, ул. Карла Маркса, 84, кв. 16",1974-07-24,Wine_594
User_1247,+79909622387,"Екатеринбург, ул. Мичурина, 55, кв. 10",1986-06-12,Wine_973
User_450,+79519187055,"Омск, ул. Челюскинцев, 89, кв. 8",1991-03-14,Wine_122
User_650,+79102536801,"Рязань, ул. Дзержинского, 26, кв. 5",1991-03-14,Wine_424
User_149,+79576002004,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",1982-03-12,Wine_910
User_1151,+79896352432,"Петрозаводск, ул. Карла Либкнехта, 89, кв. 13",2002-09-09,Wine_854
Вячеслав Иванович Рислинг,+79206775743,"Челябинск, ул. Малышева, 36, кв. 9",1998-12-07,Wine_162
User_955,+79336833737,"Воронеж, ул. Свердлова, 59, кв. 3",1991-03-08,Wine_612
User_832,+79642720497,"Москва, ул. Арбат, 64, кв. 22",1999-08-12,Wine_674
Татьяна Михайловна Ромович,+79516272869,"Тверь, ул. Пролетарская, 57, кв. 8",1995-07-18,Wine_427
User_1484,+79749039524,"Екатеринбург, ул. Ленина, 23, кв. 5",2000-05-21,Wine_281
User_965,+79615991306,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1986-06-12,Wine_294
User_1451,+79087704294,"Тюмень, ул. Республики, 29, кв. 25",1986-11-21,Wine_675
User_115,+79379135527,"Тверь, ул. Пролетарская, 57, кв. 8",1992-08-31,Wine_240
User_177,+79510952226,"Череповец, ул. Ленина, 82, кв. 14",1992-08-31,Wine_117
User_1088,+79497675035,"Челябинск, ул. Кирова, 10, кв. 7",1997-04-22,Wine_565
User_788,+79684040376,"Махачкала, ул. Гагарина, 24, кв. 5",1980-12-29,Wine_378
User_735,+79086233298,"Красноярск, ул. Мира, 15, кв. 3",1987-11-06,Wine_656
Анна Артемовна Джин,+79959704576,"Казань, ул. Баумана, 56, кв. 12",1993-01-13,Wine_563
User_386,+79823566998,"Новосибирск, ул. Сибирская, 78, кв. 21",1977-07-11,Wine_469
User_1463,+79515897620,"Тольятти, ул. Ворошилова, 29, кв. 13",1981-03-21,Wine_457
User_1323,+79779753116,"Казань, ул. Баумана, 56, кв. 12",1990-08-04,Wine_73
User_1105,+79781423995,"Екатеринбург, ул. Ленина, 23, кв. 5",2003-06-09,Wine_121
User_1009,+79592385763,"Екатеринбург, ул. Мичурина, 55, кв. 10",1976-02-02,Wine_174
User_501,+79130632282,"Рязань, ул. Дзержинского, 26, кв. 5",1996-08-28,Wine_718
Алексей Викторович Джинс,+79538144702,"Брянск, пр. Славы, 67, кв. 6",1989-02-11,Wine_566
User_1032,+79198832960,"Новосибирск, ул. Сибирская, 78, кв. 21",1990-08-04,Wine_865
User_598,+79904253233,"Ростов-на-Дону, ул. Пушкинская, 85, кв. 3",1993-01-13,Wine_157
User_1309,+79100609265,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1990-06-29,Wine_119
User_413,+79824134982,"Мурманск, пр. Мира, 50, кв. 22",1993-11-30,Wine_832
User_116,+79387652014,"Курган, ул. Пушкина, 49, кв. 18",1998-12-13,Wine_222
User_589,+79809607402,"Екатеринбург, ул. Ленина, 23, кв. 5",1984-09-05,Wine_138
User_230,+79787275441,"Смоленск, ул. Романова, 25, кв. 19",2001-12-25,Wine_289
User_189,+79210389150,"Чита, пр. Октябрьский, 81, кв. 14",1995-07-18,Wine_576
User_460,+79227014700,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",1986-08-16,Wine_937
User_235,+79058296634,"Тверь, ул. Пролетарская, 57, кв. 8",1994-05-25,Wine_622
User_278,+79714247301,"Иваново, ул. Мичурина, 24, кв. 22",1980-12-29,Wine_737
User_1104,+79385633324,"Ижевск, ул. Азина, 42, кв. 9",1990-10-22,Wine_653
User_190,+79685829006,"Кострома, ул. Красной Армии, 72, кв. 14",1993-04-10,Wine_400
User_487,+79305442548,"Уфа, ул. Карла Маркса, 27, кв. 22",1984-09-05,Wine_870
User_965,+79615991306,"Каменск-Уральский, ул. Гагарина, 44, кв. 18",1986-06-12,Wine_301
User_993,+79116573731,"Воронеж, пр. Революции, 74, кв. 18",1990-06-29,Wine_789
User_512,+79566565473,"Краснодар, ул. Красная, 51, кв. 5",1991-03-08,Wine_440
User_230,+79787275441,"Смоленск, ул. Романова, 25, кв. 19",2001-12-25,Wine_762
User_219,+79151525723,"Орел, ул. Горького, 44, кв. 22",2003-06-09,Wine_806
User_1130,+79357964238,"Иваново, ул. Интернациональная, 34, кв. 22",1998-05-16,Wine_453
User_1284,+79130149396,"Сочи, ул. Пушкина, 76, кв. 12",1991-01-29,Wine_901
User_259,+79534076058,"Ставрополь, ул. Ленина, 39, кв. 22",1990-08-04,Wine_838
User_930,+79460208062,"Челябинск, ул. Таганская, 41, кв. 4",1988-07-25,Wine_439
User_1205,+79680884229,"Орел, ул. Горького, 44, кв. 22",1997-02-10,Wine_691
User_744,+79164702478,"Воронеж, пр. Мира, 59, кв. 6",1974-07-24,Wine_759
User_1499,+79265324296,"Уфа, ул. Карла Маркса, 27, кв. 22",1994-09-19,Wine_193
User_1479,+79928614801,"Кострома, ул. Московская, 60, кв. 18",1986-08-16,Wine_927
User_670,+79711537448,"Казань, пр. Победы, 17, кв. 6",1992-12-08,Wine_163
User_1304,+79631998428,"Уфа, ул. Карла Маркса, 27, кв. 22",1974-07-24,Wine_142
User_1405,+79975026675,"Астрахань, ул. Советская, 75, кв. 9",1990-10-22,Wine_604
User_606,+79035506499,"Тула, пр. Ленина, 33, кв. 14",1984-06-13,Wine_668
User_782,+79110080147,"Кострома, ул. Московская, 60, кв. 18",1998-01-03,Wine_167
User_578,+79063156182,"Тольятти, ул. Волгоградская, 57, кв. 14",1995-07-18,Wine_874
User_711,+79516465168,"Белгород, пр. Бульварный, 12, кв. 8",1989-02-11,Wine_269
User_1153,+79142957070,"Омск, ул. Челюскинцев, 89, кв. 8",1991-03-14,Wine_553
User_688,+79154694757,"Ульяновск, пр. Ленинский, 13, кв. 7",2002-11-25,Wine_303
User_817,+79666230803,"Ростов-на-Дону, пр. Стачки, 64, кв. 14",1984-09-05,Wine_275
User_229,+79973383839,"Барнаул, ул. Ленина, 82, кв. 4",1989-05-05,Wine_212
User_966,+79996541637,"Омск, ул. Лермонтова, 32, кв. 41",1987-02-02,Wine_92
User_1002,+79742823062,"Пенза, ул. Тихонова, 24, кв. 8",2001-12-25,Wine_17
User_1031,+79804320870,"Ставрополь, ул. Ленина, 39, кв. 22",1987-02-02,Wine_171
User_1419,+79355453690,"Ростов-на-Дону, ул. Строителей, 55, кв. 7",,Wine_153
User_735,+79086233298,"Красноярск, ул. Мира, 15, кв. 3",1987-11-06,Wine_190
User_1089,+79178337286,"Саратов, ул. Чернышевского, 54, кв. 16",1995-07-10,Wine_97
User_671,+79584050400,"Тюмень, ул. Республики, 29, кв. 25",1992-08-31,Wine_391
User_1337,+79676319513,"Пенза, ул. Ульянова, 17, кв. 21",1999-06-06,Wine_812
User_126,+79343453607,"Иваново, ул. Мичурина, 24, кв. 22",2003-09-30,Wine_645
User_274,+79077978896,"Новороссийск, ул. Курортная, 51, кв. 15",1991-01-29,Wine_522
User_184,+79042678126,"Омск, ул. Лермонтова, 32, кв. 41",1993-11-30,Wine_644
User_978,+79141406008,"Ставрополь, ул. Лермонтова, 34, кв. 18",1991-03-08,Wine_58
User_1143,+79182514506,"Иваново, ул. Пушкина, 76, кв. 19",1973-12-11,Wine_204
